"","LFID","SHOTNUMBER","TIME","GLON","GLAT","ZG","HLON","HLAT","ZH","TLON","TLAT","ZT","RH10","RH15","RH20","RH25","RH30","RH35","RH40","RH45","RH50","RH55","RH60","RH65","RH70","RH75","RH80","RH85","RH90","RH95","RH96","RH97","RH98","RH99","RH100","AZIMUTH","INCIDENTANGLE","RANGE","COMPLEXITY","SENSITIVITY","CHANNEL_ZT","CHANNEL_ZG","CHANNEL_RH","FID","plotID","pointID","mOrder","country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotSize","plotDim","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","coordSrc","date","gpsLogs","plotPdop","plotHdop","appMods","module","plot","plotEdge","Shape__Are","Shape__Len","GlobalID","filename","sensor"
"322660",1958686500,59757463,76535.9466,-147.456944,65.151702,446.83,212.543057,65.151701,447.76,212.543059,65.1517,450.68,-1.53,-1.08,-0.93,-0.64,-0.49,-0.34,-0.04,0.11,0.26,0.41,0.56,0.86,1.01,1.16,1.31,1.46,1.76,2.21,2.21,2.36,2.51,2.8,3.85,318.11,3.712,12323.72,0.301,0.982,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"322661",1958686500,59757464,76535.94685,-147.456988,65.151512,444.47,212.543014,65.151511,446.71,212.543016,65.15151,449.25,-1.08,-0.79,-0.64,-0.49,-0.34,-0.19,-0.04,0.11,0.26,0.56,0.71,1.16,1.46,1.76,2.06,2.36,2.66,3.1,3.1,3.25,3.4,3.7,4.79,316.96,3.645,12325.07,0.324,0.978,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"322662",1958686500,59757465,76535.9471,-147.456871,65.151572,447.82,212.543129,65.151572,447.82,212.543132,65.15157,450.96,-2.77,-2.47,-2.17,-1.87,-1.57,-1.27,-0.97,-0.82,-0.67,-0.37,-0.22,-0.07,0.07,0.22,0.52,0.67,0.97,1.27,1.42,1.57,1.72,2.02,3.14,317.58,3.651,12324.47,0.28,0.982,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"322663",1958686500,59757466,76535.94735,-147.456751,65.151637,447.87,212.543249,65.151637,447.87,212.543253,65.151635,451.95,-1.42,-1.12,-0.82,-0.67,-0.52,-0.37,-0.22,-0.07,0.07,0.22,0.37,0.52,0.82,0.97,1.12,1.42,1.72,2.17,2.32,2.47,2.62,2.92,4.08,318.24,3.659,12321.17,0.199,0.983,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"322665",1958686500,59757468,76535.94785,-147.456689,65.151514,447.34,212.543312,65.151513,448.8,212.543315,65.151512,451.75,-1.46,-1.01,-0.71,-0.56,-0.26,-0.11,0.04,0.34,0.49,0.79,0.93,1.23,1.38,1.53,1.83,1.98,2.28,2.73,2.73,2.88,3.03,3.33,4.41,317.72,3.602,12322.68,0.388,0.98,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"322666",1958686500,59757469,76535.9481,-147.456567,65.151579,449.16,212.543435,65.151578,451.07,212.543438,65.151577,454.14,-1.42,-0.82,-0.52,-0.22,0.07,0.22,0.52,0.82,1.12,1.27,1.57,1.72,1.87,2.02,2.32,2.47,2.77,3.22,3.37,3.52,3.67,3.96,4.97,318.38,3.61,12322.08,0.315,0.982,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"322669",1958686500,59757472,76535.94885,-147.456366,65.151518,450.32,212.543645,65.151513,462.51,212.543646,65.151512,463.97,-1.16,-0.86,-0.71,-0.56,-0.41,-0.26,-0.11,0.04,0.19,0.34,0.49,0.64,0.94,1.23,1.53,1.98,5.72,10.21,11.11,11.71,12.16,12.6,13.65,318.56,3.557,12317.88,0.178,0.983,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"322672",1958686500,59757475,76535.9496,-147.456174,65.151457,450.57,212.543837,65.151451,463.48,212.543838,65.151451,465.12,-1.05,-0.75,-0.6,-0.45,-0.3,-0.3,-0.15,0,0.15,0.3,0.45,0.6,1.2,6.43,8.68,9.87,11.22,12.57,12.72,13.02,13.32,13.61,14.55,318.71,3.506,12315.64,0.523,0.975,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"323732",1958686500,59758535,76536.21461,-147.45622,65.151774,454.14,212.54378,65.151774,454.14,212.543785,65.151772,458.59,-2.02,-1.72,-1.42,-1.27,-1.12,-0.97,-0.82,-0.67,-0.37,-0.22,-0.07,0.07,0.22,0.37,0.52,0.82,0.97,1.57,1.72,2.02,2.47,3.22,4.45,315.71,3.578,12314.88,0.343,0.982,1,1,1,1776,"BONA_021","41",393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X","20160610",602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019"
"41642",1958686797,95440782,85456.84904,-147.474185,65.157333,263.66,212.525815,65.157333,263.66,212.525816,65.157332,265.76,-1.09,-0.79,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.56,0.56,0.71,0.86,1.01,2.1,352.63,1.426,12483.49,0.098,0.976,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
