"","X","plotID","LFID","SHOTNUMBER","TIME","GLON","GLAT","ZG","HLON","HLAT","ZH","TLON","TLAT","ZT","AZIMUTH","INCIDENTANGLE","RANGE","COMPLEXITY","SENSITIVITY","CHANNEL_ZT","CHANNEL_ZG","CHANNEL_RH","FID","plotID.1","pointID","mOrder","country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotSize","plotDim","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","coordSrc","date","gpsLogs","plotPdop","plotHdop","appMods","module","plot","plotEdge","Shape__Are","Shape__Len","GlobalID","filename","sensor","scientificName","BA","plot_BA","sp_prop","RH","value","rel_value"
"1",322660,"BONA_021",1958686500,59757463,76535.9466,-147.456944,65.151702,446.83,212.543057,65.151701,447.76,212.543059,65.1517,450.68,318.11,3.712,12323.72,0.301,0.982,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.53,-0.397402597402597
"2",322661,"BONA_021",1958686500,59757464,76535.94685,-147.456988,65.151512,444.47,212.543014,65.151511,446.71,212.543016,65.15151,449.25,316.96,3.645,12325.07,0.324,0.978,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.08,-0.225469728601253
"3",322662,"BONA_021",1958686500,59757465,76535.9471,-147.456871,65.151572,447.82,212.543129,65.151572,447.82,212.543132,65.15157,450.96,317.58,3.651,12324.47,0.28,0.982,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-2.77,-0.882165605095541
"4",322663,"BONA_021",1958686500,59757466,76535.94735,-147.456751,65.151637,447.87,212.543249,65.151637,447.87,212.543253,65.151635,451.95,318.24,3.659,12321.17,0.199,0.983,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.42,-0.348039215686274
"5",322665,"BONA_021",1958686500,59757468,76535.94785,-147.456689,65.151514,447.34,212.543312,65.151513,448.8,212.543315,65.151512,451.75,317.72,3.602,12322.68,0.388,0.98,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.46,-0.331065759637188
"6",322666,"BONA_021",1958686500,59757469,76535.9481,-147.456567,65.151579,449.16,212.543435,65.151578,451.07,212.543438,65.151577,454.14,318.38,3.61,12322.08,0.315,0.982,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.42,-0.285714285714286
"7",322669,"BONA_021",1958686500,59757472,76535.94885,-147.456366,65.151518,450.32,212.543645,65.151513,462.51,212.543646,65.151512,463.97,318.56,3.557,12317.88,0.178,0.983,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.16,-0.084981684981685
"8",322672,"BONA_021",1958686500,59757475,76535.9496,-147.456174,65.151457,450.57,212.543837,65.151451,463.48,212.543838,65.151451,465.12,318.71,3.506,12315.64,0.523,0.975,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.05,-0.0721649484536082
"9",323732,"BONA_021",1958686500,59758535,76536.21461,-147.45622,65.151774,454.14,212.54378,65.151774,454.14,212.543785,65.151772,458.59,315.71,3.578,12314.88,0.343,0.982,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_076451.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-2.02,-0.453932584269663
"10",50387,"BONA_021",1958686797,95449533,85459.03681,-147.456892,65.15151,447.18,212.543108,65.15151,447.18,212.543107,65.151511,449.91,151.36,2.848,12315.99,0.309,0.984,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-3.18,-1.16483516483516
