uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"a6888b95-bf27-4e35-84e5-b98f9fb2b6f9","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00054",,,"multi-bole tree","Live",10.9,130,,,,,,,"Partially shaded",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"808f0e22-3d9f-45c7-857a-03df84c6348e","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00044",,,"single bole tree","Live",18.8,130,,,,,,,"Full sun",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"b2603cd0-da68-4ac7-8db4-7f705e8f9818","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00047",,,"single bole tree","Live",23.4,130,,,,,,,"Open grown",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"eaf207eb-6df1-4f2b-ac39-19625726a745","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00059B",,,,"Live",11.7,130,,,,,,,"Full sun",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"9ed41793-8fde-4a71-92fa-e7bc2ca9d8e5","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00019",,,"small tree","Standing dead",2.6,130,,,,,,,"Mostly shaded",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"2dd58ff7-05c1-4de7-8228-2ffea3f597eb","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00053A",,,,"Live",8.5,130,,,,,,,"Partially shaded",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"864be27e-c35f-48c3-b4e2-586c31f240f9","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00025",,,"small tree","Standing dead",3.4,130,,,,,,,"Mostly shaded",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"4885c4d1-6a29-4276-8b97-557ee68eed67","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00041",,,"single bole tree","Live",17.4,130,,,,,,,"Full sun",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"ac1adac8-1f31-4d10-8d6a-ee5093ad8ee8","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00016",,,"small tree","Live",3.1,130,,,,,,,"Mostly shaded",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
"1f0d50bb-21ed-4b15-80f8-b2a5eed883f2","BONA_072.basePlot.vst","2016-06-13","vst_BONA_2016","D19","BONA","BONA_072",,"NEON.PLA.D19.BONA.00045A",,,,"Standing dead",14.1,196,,,,,,,"Partially shaded",,,,,,,,,,,,,,,"whendricks@field-ops.org","acortese@neoninc.org","legacyData | noMapTagData"
