uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"a3d0cbf0-1acd-41d5-be7f-46d7309bdf2c","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00327",,,"NEON.DOC.000987vF","BEGL/BENA","Betula glandulosa/nana","speciesGroup",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"0f107f46-f663-477f-8e33-48f6e15c3809","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00330",,,"NEON.DOC.000987vF","SABE2","Salix bebbiana Sarg.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"f86125c5-ba1c-4497-b359-f7c35ec188ad","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00328",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"99bb9988-badd-46ad-b01f-e4a39569eddc","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00335",,,"NEON.DOC.000987vF","SABE2","Salix bebbiana Sarg.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"a82dacc3-ae51-4b75-bf51-4c97ab962736","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00339",,,"NEON.DOC.000987vF","SABE2","Salix bebbiana Sarg.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"9ea0f42a-a5b6-4126-bde2-f51bba8ec16c","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00334",,,"NEON.DOC.000987vF","LEGR","Ledum groenlandicum Oeder","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"b2d0d783-5ada-4dd9-9031-a431e5287ae7","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00322",,,"NEON.DOC.000987vF","PIGL","Picea glauca (Moench) Voss","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"38b4e61a-658c-4ccd-b14c-3291fc4e1048","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00338",,,"NEON.DOC.000987vF","SABE2","Salix bebbiana Sarg.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"b20beb37-c317-4d72-9375-96c697c493b5","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00329",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"788ce6a4-8ea2-41c2-9b8f-00f7aa8d49a2","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00325",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"e43d2daf-d347-40da-99d9-9775f3a8cf14","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","4",,,,"tag only","NEON.PLA.D19.BONA.00332",,,"NEON.DOC.000987vF","BEGL/BENA","Betula glandulosa/nana","speciesGroup",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"2b62c0f3-e078-4547-a521-7ddc7eccbd2c","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00314",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"fbec99b9-a0a8-4c5a-bbcd-f7da4b5c731c","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00313",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"73901d05-0cbf-4a95-b996-01168d9f45f8","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00316",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"4d032b85-f944-477a-a8da-c510836bd432","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00319",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"415a0bae-1284-4ccc-91e3-28da3c041c86","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00312",,,"NEON.DOC.000987vF","BEGL/BENA","Betula glandulosa/nana","speciesGroup",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"8e10a519-8b6f-4ed4-8ce9-cbe6627183a6","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00318",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"00b981cf-b522-4146-a5ff-a1992b5e312d","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00317",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"88f9a8ed-1c3d-4ed6-9531-919f9853a505","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00321",,,"NEON.DOC.000987vF","SALIX","Salix sp.","genus",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"1c5a7154-5a13-4217-8513-98129288daf4","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00315",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"4c36b9e1-ffd8-4b49-aeed-48d1799c0b26","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","23","2",,,,"tag only","NEON.PLA.D19.BONA.00320",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"50de6b0c-4413-436f-bf84-0cdd17a5cdc7","BONA_079.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_079","41","4","61",5.2,216.3,"map and tag","NEON.PLA.D19.BONA.00156",,,"NEON.DOC.000987vF","BENE4","Betula neoalaskana Sarg.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"56c87b18-c1ab-48b3-b682-3986e4e88a53","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","39","3",,,,"tag only","NEON.PLA.D19.BONA.00299",,,"NEON.DOC.000987vF","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
"7c44fefb-56d9-42dc-89fc-07f6eabef53c","BONA_070.basePlot.vst","2016-06-15","vst_BONA_2016","D19","BONA","BONA_070","39","3",,,,"tag only","NEON.PLA.D19.BONA.00307",,,"NEON.DOC.000987vF","SALIX","Salix sp.","genus",,,,,,"0000-0003-4951-9447","0000-0003-4951-9447",
