uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"87ed4619-e398-4c78-bdcf-49b0c9a0d0d5","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01550",,"ok","single shrub","Standing dead",2.6,130,1.9,,,,0.9,0.6,,"cylinder",,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"6cb7d48e-ddc8-48e4-bb0d-65c1106eeebd","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01549",,"ok","small tree","Live",4.2,130,2.3,,,,,,,,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"8cf19e74-654c-4d5f-9471-7b7049b3c4a8","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01563",,"ok","multi-bole tree","Live",9.4,130,10.1,,,,4.4,4.3,"Full sun",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"5e6e5007-4297-46f9-b255-23d2cecf407f","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01563",,"ok","multi-bole tree","Live",8.9,130,10.1,,,,4.4,4.3,"Full sun",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"7b67faf2-3e9d-4956-9bcb-0db5dff2773d","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01538",,"ok","small shrub","Live",,,1.4,,,,0.6,0.4,,"cylinder",1.4,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"5f0fc6c5-af02-458f-bb26-b114ec8fa27d","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01530",,"ok","single shrub","Live, disease damaged",1.5,130,2.4,,,,0.8,0.7,,"cylinder",,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"c1401ff5-d662-4db9-82dd-0e858f70f70f","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01564",,"ok","multi-bole tree","Standing dead",16.2,140,10.2,,,,5.7,4.6,"Open grown",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"91ef8944-dda5-44b4-b12f-0a984ff411a0","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01547",,"ok","small shrub","Live",,,2.2,,,,1.1,0.4,,"cylinder",1.5,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"7a18e58d-1423-44b8-8c47-c0f2406fa9a9","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01541",,"ok","sapling","Live",,,1.5,,,,,,,,3.9,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"903af957-a1c0-4c12-92d4-11ec1c4a4d0a","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01573",,"ok","single bole tree","Live",22.7,130,11.6,,,,3.5,2.8,"Open grown",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"e042d65c-403f-4586-9417-5ecc85660350","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01531",,"ok","small tree","Live",1.6,130,2.2,,,,,,,,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"f7b2e495-5eef-4d01-9193-8af7807eaf82","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01552",,"ok","sapling","Live",,,0.8,,,,,,,,1.5,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"b98f13f4-54e4-420d-8228-ecfa75c63916","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01525",,"ok","small tree","Live",1.3,130,1.8,,,,2.0,1.5,,,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"38e00291-eadc-4899-8dcd-b782769ccc73","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01562",,"ok","multi-bole tree","Standing dead",14.6,130,14.8,,,,3.4,2.1,"Partially shaded",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"b673b0a6-f854-436a-baa0-338e017592cf","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01527",,"ok","small shrub","Live, disease damaged",,,0.5,,,,0.5,0.2,,"cylinder",1.4,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"2ad060f4-b1a8-4fc2-9c77-2e5ab5b1a8da","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01551",,"ok","small shrub","Standing dead",,,1.4,,,,0.5,0.3,,"cylinder",2.8,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"a6aa0a3b-554b-4f2f-ba58-2b1510fafe85","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01555",,"ok","single shrub","Standing dead",2.4,130,2.1,,,,0.6,0.5,,"cylinder",,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"dc2f4b3a-2f07-46e1-bfce-750ddec56e1c","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01547",,"ok","small shrub","Standing dead",,,2.2,,,,1.1,0.4,,"cylinder",2.8,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"1f3c3d1e-dcfd-417c-99e5-874a5cf59f84","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01556",,"ok","small shrub","Live",,,1.3,,,,0.6,0.3,,"cylinder",2.6,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"cdc6b591-3731-4b6d-b46a-8e927ac2568c","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01560",,"ok","single bole tree","Live",14.5,130,12.4,,,,2.3,2.2,"Full sun",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"3647f379-d195-4514-9120-fc8c4b0a3c9c","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01570",,"ok","single bole tree","Live, physically damaged",16.2,130,10.5,,,,3.3,1.3,"Full sun",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"bf47adf8-0aa2-4c82-83ae-7ff91b567272","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01562",,"ok","multi-bole tree","Live",7.9,130,14.8,,,,3.4,2.1,"Partially shaded",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"af033d3a-7f54-4ea3-99ee-976e312ff5b5","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01529",,"ok","single shrub","Standing dead",3.3,130,2.5,,,,1.7,1.5,,"cylinder",,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"ba335043-1c3d-443b-905e-3955fdd47a19","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01559",,"ok","small tree","Standing dead",3.9,130,2.6,,,,,,,,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"ee225555-fd85-49b5-bc11-684670f37f40","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01564",,"ok","multi-bole tree","Live",12.5,130,10.2,,,,5.7,4.6,"Open grown",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"f5d2a6ea-d063-494f-a176-e6f8757dbf54","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01561",,"ok","single bole tree","Live",28.1,130,9.6,,,,3.2,2.7,"Open grown",,,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"4a1bdc09-b830-4eb0-b463-4cb14539503f","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01555",,"ok","single shrub","Standing dead",2.4,,2.1,,,,0.6,0.5,,"cylinder",,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"f4557217-0f6c-4a9b-879d-fa898bd35e72","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01526",,"ok","small shrub","Live, disease damaged",,,1.9,,,,0.9,0.6,,"cylinder",1.1,10,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"507610ba-4517-4fbc-a1c5-7efeeb3dbe61","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01539",,"ok","single shrub","Standing dead",1.8,130,2.1,,,,2.1,0.1,,"cylinder",,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
"4252405f-1e76-4036-85b1-5af683b17062","BONA_014.basePlot.vst","2017-08-07","vst_BONA_2017","D19","BONA","BONA_014",,"NEON.PLA.D19.BONA.01555",,"ok","single shrub","Live",1.0,130,2.1,,,,0.6,0.5,,"cylinder",,,,,,,,,,,,,,"awatkins@battelleecology.org","whendricks@battelleecology.org","legacyData"
